date,G1,G2,G3,G4,G5
2025-12-18,953670.7867987192,1133073.0560861088,1213897.7116094131,1280798.7856665633,1328042.8431936142
2025-12-19,978172.7098643383,1155370.7767333777,1232440.6838597297,1303378.5565380105,1346100.1047915027
2025-12-22,985347.9116660476,1159579.7883925415,1236138.0209595829,1306412.1419857095,1349867.9901002527
2025-12-23,970999.1073133774,1150449.6925049804,1228784.403178446,1297210.6701036822,1341112.9124257723
2025-12-24,986240.3900345522,1162282.8540838324,1241076.9156148736,1307664.5438675333,1351042.5767883451
2025-12-25,996971.5784198527,1173215.5270639495,1249761.5352053132,1318020.3828654292,1363510.8133255423
2025-12-26,1003223.0757379518,1177371.1861928871,1253139.1420978862,1315204.6035393323,1354880.5873288459
2025-12-29,994121.1258269453,1175208.5063951132,1246545.4393824728,1312056.7333723353,1352323.266485744
2025-12-30,986929.5623051679,1169910.9406893088,1243723.1653322459,1307189.8396377494,1348698.8441443609
2025-12-31,983458.51378976,1170504.3956844225,1244864.882772028,1307337.2702949774,1351884.3758614692
2026-01-05,992148.1224357311,1178382.9640226965,1253846.1722000015,1320747.3042326982,1365751.5038194594
2026-01-06,1011646.4475884107,1196274.6871516774,1272864.5475378013,1334532.5007885124,1378632.9305161154
2026-01-07,1015303.1846739204,1194342.8844636364,1271520.5148841497,1331159.9716923237,1374240.1715986845
2026-01-08,1030469.4578318836,1203966.6151219308,1282099.7246982602,1341611.7490325058,1385825.0783941534
2026-01-09,1046615.0434110705,1218476.1016587147,1292658.3751446125,1354604.9812422534,1395917.1779478565
2026-01-12,1076120.3249684612,1241407.4172094637,1311373.7240063697,1369891.7751473703,1414187.3493913517
2026-01-13,1047837.502807305,1223965.7581457426,1299827.5532382366,1360842.044432617,1409273.2950446976
2026-01-14,1053172.677546668,1229603.2724072272,1302148.2850682163,1363768.9409957726,1410923.501982558
2026-01-15,1035927.1616073129,1223474.5646152524,1296820.328013601,1364852.7789712779,1411717.0497608464
2026-01-16,1023031.1995683393,1214913.4225434433,1293051.091145686,1360764.067222584,1410292.5594392607
2026-01-19,1038458.23321242,1233296.912530341,1313591.5885507634,1381579.6069297276,1428943.1338634738
2026-01-20,1030321.895426502,1232166.448883657,1317425.282031794,1387697.1004615738,1438542.1371788068
2026-01-21,1027353.5324035608,1236733.3490792436,1320387.3181048087,1389419.7294124914,1440569.7434096271
2026-01-22,1043511.8635081607,1251753.2318868255,1333683.2535596665,1404152.6794769843,1451893.7952204696
2026-01-23,1067809.031973677,1269828.641099139,1348756.4405808474,1414537.117892875,1458738.1763590737
2026-01-26,1050235.4651760256,1256144.2565296385,1337977.469952878,1412150.6883900054,1453987.6968258594
2026-01-27,1044547.7805487739,1248996.2079635551,1328040.4952928654,1401159.600254495,1440801.3654140495
2026-01-28,1044062.2021810182,1248545.2663676941,1325341.4756460346,1400740.5893064043,1434843.7882056173
2026-01-29,1039324.5922520476,1246040.8465889378,1321919.555971922,1399765.7998579557,1436579.7088680062
2026-01-30,1023948.5161159419,1239794.5538796445,1321060.9081509856,1402529.4528865675,1443303.2524493788
2026-02-02,1002180.2598312036,1205999.1043023875,1291944.196287435,1371179.9700231228,1415823.9807739449
2026-02-03,1028713.537792768,1230061.2128132875,1310466.7245516945,1390857.6557969856,1430222.2126014705
2026-02-04,1037249.6541301053,1241102.445214766,1325658.4313424318,1409939.6928402542,1443142.6673445269
2026-02-05,1022232.9431277254,1230416.7955319437,1313685.1076957146,1403413.374947278,1445430.94141673
2026-02-06,1022318.3099972217,1232163.8143718736,1313912.484056688,1404695.2257881372,1445290.1367630935
2026-02-09,1043210.4633888205,1254443.3435682508,1331378.382210088,1417796.9763353758,1457843.2320597693
2026-02-10,1042155.5378275263,1253513.4736137302,1332378.6083494748,1416280.3521798966,1458439.7054907007
2026-02-11,1038224.6076396736,1252604.5973812628,1332243.8809886023,1413068.348654609,1457872.44183361
2026-02-12,1033572.7545701837,1245017.4901376157,1327036.5137556181,1400226.2574893045,1444531.2780652305
2026-02-13,1019257.7605210205,1232013.67550557,1314321.0035754286,1389442.8890852695,1438499.3611480813
2026-02-24,1041957.3799469643,1255882.9490227117,1336425.1518093226,1412058.8961120597,1455935.3532224721
2026-02-25,1059758.0668829482,1271316.2628533565,1349418.067758778,1421017.7782467997,1462300.1305161833
2026-02-26,1057622.2000327155,1268645.046928358,1350517.647464524,1421492.1340184028,1461788.940858107
